,icd9cm,icd10,description,flags,approximate,no_map,combination,scenario,choice_list
64229,9090,T45621S,"Poisoning by hemostatic drug, accidental (unintentional), sequela",10111,1,0,1,1,1
64230,E9292,T45621S,"Poisoning by hemostatic drug, accidental (unintentional), sequela",10112,1,0,1,1,2
64231,9648,T45622A,"Poisoning by hemostatic drug, intentional self-harm, initial encounter",10111,1,0,1,1,1
64232,E9504,T45622A,"Poisoning by hemostatic drug, intentional self-harm, initial encounter",10112,1,0,1,1,2
64233,V5889,T45622D,"Poisoning by hemostatic drug, intentional self-harm, subsequent encounter",10000,1,0,0,0,0
64234,9090,T45622S,"Poisoning by hemostatic drug, intentional self-harm, sequela",10111,1,0,1,1,1
64235,E959,T45622S,"Poisoning by hemostatic drug, intentional self-harm, sequela",10112,1,0,1,1,2
64236,9648,T45623A,"Poisoning by hemostatic drug, assault, initial encounter",10111,1,0,1,1,1
64237,E9620,T45623A,"Poisoning by hemostatic drug, assault, initial encounter",10112,1,0,1,1,2
64238,V5889,T45623D,"Poisoning by hemostatic drug, assault, subsequent encounter",10000,1,0,0,0,0
64239,9090,T45623S,"Poisoning by hemostatic drug, assault, sequela",10111,1,0,1,1,1
64240,E969,T45623S,"Poisoning by hemostatic drug, assault, sequela",10112,1,0,1,1,2
64241,9648,T45624A,"Poisoning by hemostatic drug, undetermined, initial encounter",10111,1,0,1,1,1
64242,E9804,T45624A,"Poisoning by hemostatic drug, undetermined, initial encounter",10112,1,0,1,1,2
64243,V5889,T45624D,"Poisoning by hemostatic drug, undetermined, subsequent encounter",10000,1,0,0,0,0
64244,9090,T45624S,"Poisoning by hemostatic drug, undetermined, sequela",10111,1,0,1,1,1
64245,E989,T45624S,"Poisoning by hemostatic drug, undetermined, sequela",10112,1,0,1,1,2
64246,99529,T45625A,"Adverse effect of hemostatic drug, initial encounter",10111,1,0,1,1,1
64247,E9348,T45625A,"Adverse effect of hemostatic drug, initial encounter",10112,1,0,1,1,2
64248,V5889,T45625D,"Adverse effect of hemostatic drug, subsequent encounter",10000,1,0,0,0,0
64249,9095,T45625S,"Adverse effect of hemostatic drug, sequela",10111,1,0,1,1,1
64250,E9348,T45625S,"Adverse effect of hemostatic drug, sequela",10112,1,0,1,1,2
64251,NoDx,T45626A,"Underdosing of hemostatic drugs, initial encounter",11000,1,1,0,0,0
64252,NoDx,T45626D,"Underdosing of hemostatic drugs, subsequent encounter",11000,1,1,0,0,0
64253,NoDx,T45626S,"Underdosing of hemostatic drugs, sequela",11000,1,1,0,0,0
64254,9644,T45691A,"Poisoning by other fibrinolysis-affecting drugs, accidental (unintentional), initial encounter",10111,1,0,1,1,1
64255,E8582,T45691A,"Poisoning by other fibrinolysis-affecting drugs, accidental (unintentional), initial encounter",10112,1,0,1,1,2
64256,V5889,T45691D,"Poisoning by other fibrinolysis-affecting drugs, accidental (unintentional), subsequent encounter",10000,1,0,0,0,0
64257,9090,T45691S,"Poisoning by other fibrinolysis-affecting drugs, accidental (unintentional), sequela",10111,1,0,1,1,1
64258,E9292,T45691S,"Poisoning by other fibrinolysis-affecting drugs, accidental (unintentional), sequela",10112,1,0,1,1,2
64259,9644,T45692A,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, initial encounter",10111,1,0,1,1,1
64260,E9504,T45692A,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, initial encounter",10112,1,0,1,1,2
64261,V5889,T45692D,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, subsequent encounter",10000,1,0,0,0,0
64262,9090,T45692S,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, sequela",10111,1,0,1,1,1
64263,E959,T45692S,"Poisoning by other fibrinolysis-affecting drugs, intentional self-harm, sequela",10112,1,0,1,1,2
64264,9644,T45693A,"Poisoning by other fibrinolysis-affecting drugs, assault, initial encounter",10111,1,0,1,1,1
64265,E9620,T45693A,"Poisoning by other fibrinolysis-affecting drugs, assault, initial encounter",10112,1,0,1,1,2
64266,V5889,T45693D,"Poisoning by other fibrinolysis-affecting drugs, assault, subsequent encounter",10000,1,0,0,0,0
64267,9090,T45693S,"Poisoning by other fibrinolysis-affecting drugs, assault, sequela",10111,1,0,1,1,1
64268,E969,T45693S,"Poisoning by other fibrinolysis-affecting drugs, assault, sequela",10112,1,0,1,1,2
64269,9644,T45694A,"Poisoning by other fibrinolysis-affecting drugs, undetermined, initial encounter",10111,1,0,1,1,1
64270,E9804,T45694A,"Poisoning by other fibrinolysis-affecting drugs, undetermined, initial encounter",10112,1,0,1,1,2
64271,V5889,T45694D,"Poisoning by other fibrinolysis-affecting drugs, undetermined, subsequent encounter",10000,1,0,0,0,0
64272,9090,T45694S,"Poisoning by other fibrinolysis-affecting drugs, undetermined, sequela",10111,1,0,1,1,1
64273,E989,T45694S,"Poisoning by other fibrinolysis-affecting drugs, undetermined, sequela",10112,1,0,1,1,2
64274,99529,T45695A,"Adverse effect of other fibrinolysis-affecting drugs, initial encounter",10111,1,0,1,1,1
64275,E9344,T45695A,"Adverse effect of other fibrinolysis-affecting drugs, initial encounter",10112,1,0,1,1,2
64276,V5889,T45695D,"Adverse effect of other fibrinolysis-affecting drugs, subsequent encounter",10000,1,0,0,0,0
64277,9095,T45695S,"Adverse effect of other fibrinolysis-affecting drugs, sequela",10111,1,0,1,1,1
64278,E9344,T45695S,"Adverse effect of other fibrinolysis-affecting drugs, sequela",10112,1,0,1,1,2
64279,NoDx,T45696A,"Underdosing of other fibrinolysis-affecting drugs, initial encounter",11000,1,1,0,0,0
64280,NoDx,T45696D,"Underdosing of other fibrinolysis-affecting drugs, subsequent encounter",11000,1,1,0,0,0
64281,NoDx,T45696S,"Underdosing of other fibrinolysis-affecting drugs, sequela",11000,1,1,0,0,0
64282,9645,T457X1A,"Poisoning by anticoagulant antagonists, vitamin K and other coagulants, accidental (unintentional), initial encounter",10111,1,0,1,1,1
