DETAIL_LAB_PROCEDURE_ID,n_valid_patients,abnormal_rate_patients,abnormal_rate_patients_pos,abnormal_rate_patients_neg,delta_abnormal_pat,rr_abnormal_pat,lab_score_pat,n_patients_with_lab,n_encounters_with_lab,LAB_PROCEDURE_NAME,LAB_PROCEDURE_GROUP,LAB_SUPER_GROUP,LOINC_CODE
754,4661.0,0.3452048916541514,0.125,0.3455834945196647,-0.2205834945196647,0.3617070895522388,1.8633128551123013,5345.0,5401.0,Mumps Antibody IgG,Mumps Test,Pathogen Specific Test,7966-5
6640,2227.0,0.4809160305343511,0.71875,0.4774487471526196,0.2413012528473804,1.5053971851145038,1.8601574797572404,2285.0,2318.0,Cyclic citrullinated peptide Antibody IgG Quantitative Serum,General Test,General Test,33935-8
7156,522.0,0.10727969348659,0.4,0.104448742746615,0.295551257253385,3.829629629629633,1.8500271715843728,532.0,563.0,"Nornicotine, Urine","General Test, Urine",General Test,33917-6
6818,157.0,0.3630573248407643,0.0,0.3653846153846153,-0.3653846153846153,0.0,1.8497943389906224,157.0,159.0,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] Red Blood Cells,Glucose Test,General Test,32546-4
3199,275.0,0.1745454545454545,0.5,0.1721611721611721,0.3278388278388279,2.904255319148937,1.842585631801044,275.0,278.0,Bermuda grass Antibody IgE RAST (Cynodon dactylon),Allergy Test,Allergy Test,15738-8
3112,121.0,0.4958677685950413,0.8571428571428571,0.4736842105263157,0.3834586466165414,1.8095238095238095,1.842143408130798,121.0,122.0,Bakers yeast Antibody IgG (Saccharomyces cerevisiae) mCnc,Allergy Test,Allergy Test,35538-8
7927,711.0,0.279887482419128,0.0,0.2802816901408451,-0.2802816901408451,0.0,1.8409119779873004,711.0,839.0,von Willebrand Factor (vWf) Antigen Actual/Normal Platelet Poor Plasma Immunologic Method,Coagulation Test,General Test,27816-8
3881,283.0,0.1766784452296819,0.5,0.1743772241992882,0.3256227758007118,2.867346938775511,1.8394346718567636,308.0,312.0,Cottonwood Antibody IgE RAST (Populus deltoides),Allergy Test,Allergy Test,15659-6
7921,8988.0,0.4058744993324432,0.6006389776357828,0.3988472622478386,0.2017917153879441,1.5059373210954958,1.837062718616456,9003.0,9585.0,Vancomycin Quantitative Serum or Plasma,Vancomycin Test,General Test,20578-1
682,10068.0,0.3598529996027016,0.1632653061224489,0.3608144525401737,-0.1975491464177247,0.4524910379089393,1.8208532866743483,13356.0,13656.0,Rubella Immunity Screen,Rubella Test,Pathogen Specific Test,22496-4
3822,198.0,0.1616161616161616,0.5,0.1581632653061224,0.3418367346938776,3.161290322580646,1.8094460370231684,198.0,202.0,Common Pigweed Antibody IgE RAST (Pigweed common),Allergy Test,Allergy Test,15936-8
1388,42787.0,0.1960174819454507,0.3641618497109826,0.195334866475806,0.1688269832351766,1.8642951782296755,1.8003731386401656,42787.0,59824.0,"Blood Gas CO2, Venous",Blood Gas Test,Blood Gas Test,2027-1
734,173.0,0.3468208092485549,0.0,0.3488372093023256,-0.3488372093023256,0.0,1.7996704532143706,380.0,384.0,Varicella zoster Immunity Screen,Varicella zoster Test,Pathogen Specific Test,8047-3
2110,2336.0,0.507277397260274,0.7272727272727273,0.4952595936794582,0.232013133593269,1.468467721886136,1.7996384859490324,2337.0,2840.0,HIV1 Viral Load,HIV1 Test,Pathogen Specific Test,25836-8
683,1506.0,0.2443559096945551,0.0,0.2451698867421718,-0.2451698867421718,0.0,1.7941228788104926,1708.0,1730.0,Rubella Serology,Rubella Test,Pathogen Specific Test,22496-4
7902,203.0,0.334975369458128,0.0,0.3366336633663366,-0.3366336633663366,0.0,1.790258215749538,306.0,327.0,Tryptase Quantitative Serum or Plasma,Tryptase Test,General Test,21582-2
6391,694.0,0.4135446685878962,0.1428571428571428,0.4163027656477438,-0.273445622790601,0.3431568431568429,1.789404050097256,694.0,721.0,Alpha-1-Microglobulin.placental Vaginal Fluid (Amnisure ),Alpha-1-Microglobulin,General Test,50385-4
15608,1726.0,0.6848203939745076,0.918918918918919,0.679692125518058,0.2392267934008609,1.3519634617195593,1.7832302676826663,1732.0,1789.0,Deoxyhemoglobin/Hemoglobin Total Arterial Blood,Hemoglobin Test,General Test,19225-2
7071,276.0,0.3115942028985507,0.0,0.3127272727272727,-0.3127272727272727,0.0,1.7587836564804038,409.0,442.0,"Methionine, Serum/Plasma",General Test,General Test,20651-6
1616,142983.0,0.2272647797290587,0.3740902474526928,0.2265559116208466,0.1475343358318462,1.6512049708892735,1.751304565273768,143028.0,196442.0,"Carbon Dioxide CO2, Venous",Blood Gas Test,Blood Gas Test,2021-4
331,3337.0,0.0617320946958345,0.2727272727272727,0.0596246973365617,0.213102575390711,4.5740655283802525,1.7289282803818429,4000.0,4058.0,TB Skin Test,TB Skin Test,Pathogen Specific Test,32561-3
6664,501.0,0.2275449101796407,0.5,0.2264529058116232,0.2735470941883768,2.207964601769912,1.7010799926611646,501.0,508.0,Dilute Russells Viper Venom Time (dRVVT) Actual/Normal Platelet Poor Plasma,Coagulation Test,General Test,15359-3
696,102.0,0.3627450980392157,0.0,0.3663366336633663,-0.3663366336633663,0.0,1.6978710154900645,102.0,103.0,Salmonella Group - VI,Salmonella Test,Pathogen Specific Test,20951-0
6713,100.0,0.86,0.5,0.8673469387755102,-0.3673469387755101,0.5764705882352942,1.695350393941687,100.0,101.0,Epstein Barr Virus Nuclear Antibody IgG Quantitative Serum,Epstein Barr Test,Pathogen Specific Test,31374-2
