ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio,DIAGNOSIS_DESCRIPTION
M18,10489,94,11508,0.000686,0.000989,-0.000303,0.693481,Osteoarthritis of first carpometacarpal joint
O10,20588,261,25690,0.001905,0.002209,-0.000304,0.862548,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
D14,3893,16,4904,0.000117,0.000422,-0.000305,0.276997,Benign neoplasm of middle ear and respiratory system
Z67,6995,46,7458,0.000336,0.000641,-0.000305,0.523651,Blood type
X18,9140,77,10104,0.000562,0.000869,-0.000307,0.647,Contact with other hot metals
E65,6882,45,7386,0.000328,0.000635,-0.000307,0.517261,Localized adiposity
L94,7339,50,7884,0.000365,0.000678,-0.000313,0.538431,Other localized connective tissue disorders
O11,6817,44,7403,0.000321,0.000636,-0.000315,0.504605,Pre-existing hypertension with pre-eclampsia
T24,10683,115,13446,0.000839,0.001156,-0.000317,0.726125,"Burn and corrosion of lower limb, except ankle and foot"
J00,10681,86,10992,0.000628,0.000945,-0.000317,0.664245,Acute nasopharyngitis [common cold]
T16,5359,26,5901,0.00019,0.000507,-0.000318,0.374071,Foreign body in ear
N75,6739,54,8295,0.000394,0.000713,-0.000319,0.552693,Diseases of Bartholin's gland
K23,10080,77,10253,0.000562,0.000881,-0.000319,0.637597,Disorders of esophagus in diseases classified elsewhere
G51,15071,158,17124,0.001153,0.001472,-0.000319,0.783355,Facial nerve disorders
W03,5269,21,5530,0.000153,0.000475,-0.000322,0.322404,"Other fall on same level due to collision with, or pushing by, another person"
B27,5657,31,6403,0.000226,0.00055,-0.000324,0.41104,Infectious mononucleosis
M95,5481,29,6271,0.000212,0.000539,-0.000327,0.392616,Other acquired deformities of musculoskeletal system and connective tissue
T22,14028,154,16875,0.001124,0.001451,-0.000327,0.774789,"Burn and corrosion of shoulder and upper limb, except wrist and hand"
I69,105265,1495,130736,0.010912,0.011239,-0.000328,0.970852,Sequelae of cerebrovascular disease
C24,3618,14,5014,0.000102,0.000431,-0.000329,0.237055,Malignant neoplasm of other and unspecified parts of biliary tract
H74,5357,21,5609,0.000153,0.000482,-0.000329,0.317863,Other disorders of middle ear mastoid
C62,4850,61,9029,0.000445,0.000776,-0.000331,0.573584,Malignant neoplasm of testis
C55,6470,54,8470,0.000394,0.000728,-0.000334,0.541274,"Malignant neoplasm of uterus, part unspecified"
N48,22067,243,24520,0.001774,0.002108,-0.000334,0.841381,Other disorders of penis
Z42,4931,15,5230,0.000109,0.00045,-0.00034,0.243498,Encounter for plastic and reconstructive surgery following medical procedure or healed injury
F88,7005,51,8312,0.000372,0.000715,-0.000342,0.52092,Other disorders of psychological development
T63,14999,138,15733,0.001007,0.001353,-0.000345,0.744688,Toxic effect of contact with venomous animals and plants
D37,7250,47,8007,0.000343,0.000688,-0.000345,0.49835,Neoplasm of uncertain behavior of oral cavity and digestive organs
N65,4453,11,4948,8e-05,0.000425,-0.000345,0.188742,Deformity and disproportion of reconstructed breast
O63,4792,9,4815,6.6e-05,0.000414,-0.000348,0.158691,Long labor
Z15,4279,18,5583,0.000131,0.00048,-0.000349,0.273723,Genetic susceptibility to disease
B08,5129,17,5531,0.000124,0.000476,-0.000351,0.260946,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
Q89,9464,88,11558,0.000642,0.000994,-0.000351,0.646408,"Other congenital malformations, not elsewhere classified"
I07,68179,805,72441,0.005876,0.006228,-0.000352,0.943449,Rheumatic tricuspid valve diseases
S39,83794,961,85752,0.007014,0.007372,-0.000358,0.95145,"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals"
Z43,38163,469,43986,0.003423,0.003782,-0.000358,0.905243,Encounter for attention to artificial openings
D34,4454,7,4774,5.1e-05,0.00041,-0.000359,0.124486,Benign neoplasm of thyroid gland
L60,14926,159,17676,0.001161,0.00152,-0.000359,0.763695,Nail disorders
Q62,6259,43,7822,0.000314,0.000672,-0.000359,0.466721,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
K00,4984,20,5899,0.000146,0.000507,-0.000361,0.287844,Disorders of tooth development and eruption
G81,48571,562,51942,0.004102,0.004465,-0.000364,0.918596,Hemiplegia and hemiparesis
H21,4517,12,5253,8.8e-05,0.000452,-0.000364,0.193946,Other disorders of iris and ciliary body
M71,28685,305,30180,0.002226,0.002595,-0.000368,0.858,Other bursopathies
Q23,9553,97,12511,0.000708,0.001076,-0.000368,0.658243,Congenital malformations of aortic and mitral valves
