rank,feature,mean_abs_shap,DIAGNOSIS_DESCRIPTION
304,K76,0.0008230112143792,Other diseases of liver
305,M22,0.0008195490809157,Disorder of patella
306,F13,0.0008164353203028,"Sedative, hypnotic, or anxiolytic related disorders"
307,Q21,0.0008058646344579,Congenital malformations of cardiac septa
308,R51,0.0008039232925511,Headache
309,G59,0.000803331262432,Mononeuropathy in diseases classified elsewhere
310,S92,0.000799746136181,"Fracture of foot and toe, except ankle"
311,R33,0.0007939522038213,Retention of urine
312,J43,0.0007931104046292,Emphysema
313,Z00,0.000791193335317,"Encounter for general examination without complaint, suspected or reported diagnosis"
314,C49,0.0007886149687692,Malignant neoplasm of other connective and soft tissue
315,I51,0.0007853432907722,Complications and ill-defined descriptions of heart disease
316,I45,0.0007850581314414,Other conduction disorders
317,N35,0.0007835372234694,Urethral stricture
318,K04,0.0007826673099771,Diseases of pulp and periapical tissues
319,L05,0.0007699392153881,Pilonidal cyst and sinus
320,R49,0.0007695000385865,Voice and resonance disorders
321,O76,0.0007626590668223,Abnormality in fetal heart rate and rhythm complicating labor and delivery
322,J81,0.0007466624956578,Pulmonary edema
323,J98,0.0007421185728162,Other respiratory disorders
324,I31,0.0007392808329313,Other diseases of pericardium
325,K01,0.0007383223273791,Embedded and impacted teeth
326,Z59,0.0007342840544879,Problems related to housing and economic circumstances
327,D16,0.0007329375948756,Benign neoplasm of bone and articular cartilage
328,K85,0.000731953070499,Acute pancreatitis
329,O26,0.000730964820832,Maternal care for other conditions predominantly related to pregnancy
330,Q53,0.0007281457656063,Undescended and ectopic testicle
331,N62,0.0007252807263284,Hypertrophy of breast
332,J10,0.0007187575101852,Influenza due to other identified influenza virus
333,N23,0.0007180544780567,Unspecified renal colic
334,O42,0.0007149449083954,Premature rupture of membranes
335,K52,0.0007141880923882,Other and unspecified noninfective gastroenteritis and colitis
336,J93,0.0007100072107277,Pneumothorax and air leak
337,K60,0.0007095877081155,Fissure and fistula of anal and rectal regions
338,E11,0.0007044208468869,Type 2 diabetes mellitus
339,H02,0.0007018879405222,Other disorders of eyelid
340,Y04,0.0006998127209953,Assault by bodily force
341,D23,0.0006997843156568,Other benign neoplasms of skin
342,L89,0.0006964242202229,Pressure ulcer
343,G21,0.0006950531387701,Secondary parkinsonism
344,I13,0.0006944263004697,Hypertensive heart and renal disease
345,T42,0.0006925780326128,"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs"
346,K66,0.0006920954911038,Other disorders of peritoneum
347,I62,0.0006891189841553,Other and unspecified nontraumatic intracranial hemorrhage
348,X50,0.0006888561765663,Overexertion and strenuous or repetitive movements
349,J18,0.0006789250182919,"Pneumonia, unspecified organism"
350,D03,0.0006777724483981,Melanoma in situ
351,Z52,0.0006774630746804,Donors of organs and tissues
352,O98,0.0006734913913533,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
353,Q55,0.0006712459144182,Other congenital malformations of male genital organs
354,N63,0.0006696474156342,Unspecified lump in breast
355,L02,0.0006630007992498,"Cutaneous abscess, furuncle and carbuncle"
356,D06,0.0006620938074775,Carcinoma in situ of cervix uteri
357,R91,0.0006549857207573,Abnormal findings on diagnostic imaging of lung
358,N43,0.0006330753094516,Hydrocele and spermatocele
359,K22,0.0006259630899876,Other diseases of esophagus
360,M15,0.0006130894762463,Polyosteoarthritis
361,N10,0.0006080312887206,Acute pyelonephritis
362,F01,0.0006068075890652,Vascular dementia
363,R19,0.0005984458257444,Other symptoms and signs involving the digestive system and abdomen
364,R40,0.0005880094249732,"Somnolence, stupor and coma"
365,R27,0.0005826230626553,Other lack of coordination
366,E07,0.0005763826775364,Other disorders of thyroid
367,G81,0.0005706887459382,Hemiplegia and hemiparesis
368,Z97,0.0005670082755386,Presence of other devices
369,C92,0.000564815592952,Myeloid leukemia
370,C64,0.0005588611820712,"Malignant neoplasm of kidney, except renal pelvis"
371,S02,0.0005569574423134,Fracture of skull and facial bones
372,I69,0.0005528796464204,Sequelae of cerebrovascular disease
373,M81,0.0005525884917005,Osteoporosis without current pathological fracture
374,B08,0.0005418309592641,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
375,K83,0.0005406390409916,Other diseases of biliary tract
376,N97,0.0005401859525591,Female infertility
377,I88,0.0005363569362089,Nonspecific lymphadenitis
378,R93,0.0005355555331334,Abnormal findings on diagnostic imaging of other body structures
379,R01,0.000527486205101,Cardiac murmurs and other cardiac sounds
380,F12,0.0005219152080826,Cannabis related disorders
381,G62,0.0005203137407079,Other and unspecified polyneuropathies
382,R21,0.0005202806205488,Rash and other nonspecific skin eruption
383,S89,0.000508454919327,Other and unspecified injuries of lower leg
384,N73,0.0005076528759673,Other female pelvic inflammatory diseases
385,O13,0.0005066546145826,Gestational [pregnancy-induced] hypertension without significant proteinuria
386,J06,0.0005061298725195,Acute upper respiratory infections of multiple and unspecified sites
387,S70,0.0005059703253209,Superficial injury of hip and thigh
388,C80,0.0005051816115155,Malignant neoplasm without specification of site
389,J11,0.0005019887466914,Influenza due to unidentified influenza virus
390,F20,0.0004998629447072,Schizophrenia
391,V89,0.0004986974527128,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
392,H81,0.0004950225702486,Disorders of vestibular function
393,V43,0.0004882378561887,"Car occupant injured in collision with car, pick-up truck or van"
394,R47,0.0004815654247067,"Speech disturbances, not elsewhere classified"
395,F29,0.0004813465639017,Unspecified psychosis not due to a substance or known physiological condition
396,G31,0.0004716933181043,"Other degenerative diseases of nervous system, not elsewhere classified"
397,V86,0.0004627516609616,"Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident"
398,M94,0.0004583572444971,Other disorders of cartilage
399,O36,0.00045554083772,Maternal care for other fetal problems
400,I77,0.0004535139014478,Other disorders of arteries and arterioles
401,K75,0.0004526544653344,Other inflammatory liver diseases
402,T81,0.0004494092427194,"Complications of procedures, not elsewhere classified"
403,H72,0.0004469721461646,Perforation of tympanic membrane
404,C79,0.0004376400902401,Secondary malignant neoplasm of other and unspecified sites
405,K77,0.0004345687048044,Liver disorders in diseases classified elsewhere
406,G90,0.0004344018816482,Disorders of autonomic nervous system
407,N88,0.0004319417930673,Other noninflammatory disorders of cervix uteri
408,R69,0.0004319371655583,Unknown and unspecified causes of morbidity
409,T23,0.0004312611708883,Burn and corrosion of wrist and hand
410,J38,0.0004306357877794,"Diseases of vocal cords and larynx, not elsewhere classified"
411,K43,0.0004267267649993,Ventral hernia
